=== Feature: workclass ===
workclass=? | n=377 | precision=0.4615 recall=0.2500 f1=0.3243
workclass=Federal-gov | n=188 | precision=0.8167 recall=0.6622 f1=0.7313
workclass=Local-gov | n=415 | precision=0.7570 recall=0.6532 f1=0.7013
workclass=Private | n=4492 | precision=0.7368 recall=0.6185 f1=0.6725
workclass=Self-emp-inc | n=234 | precision=0.8162 recall=0.8538 f1=0.8346
workclass=Self-emp-not-inc | n=538 | precision=0.7876 recall=0.5973 f1=0.6794
workclass=State-gov | n=263 | precision=0.7581 recall=0.6620 f1=0.7068

=== Feature: education ===
education=10th | n=189 | precision=1.0000 recall=0.0769 f1=0.1429
education=11th | n=233 | precision=1.0000 recall=0.3571 f1=0.5263
education=12th | n=87 | precision=0.0000 recall=0.0000 f1=0.0000
education=1st-4th | n=31 | precision=1.0000 recall=0.5000 f1=0.6667
education=5th-6th | n=62 | precision=0.0000 recall=0.0000 f1=0.0000
education=7th-8th | n=123 | precision=0.0000 recall=0.0000 f1=0.0000
education=9th | n=105 | precision=1.0000 recall=0.1250 f1=0.2222
education=Assoc-acdm | n=240 | precision=0.5962 recall=0.5254 f1=0.5586
education=Assoc-voc | n=283 | precision=0.6508 recall=0.5467 f1=0.5942
education=Bachelors | n=1090 | precision=0.7615 recall=0.7597 f1=0.7606
education=Doctorate | n=93 | precision=0.8873 recall=0.8514 f1=0.8690
education=HS-grad | n=2091 | precision=0.6808 recall=0.4203 f1=0.5197
education=Masters | n=355 | precision=0.8718 recall=0.8500 f1=0.8608
education=Prof-school | n=111 | precision=0.8588 recall=0.8902 f1=0.8743
education=Some-college | n=1413 | precision=0.6733 recall=0.5551 f1=0.6085

=== Feature: marital-status ===
marital-status=Divorced | n=902 | precision=0.8000 recall=0.3636 f1=0.5000
marital-status=Married-civ-spouse | n=2975 | precision=0.7441 recall=0.6814 f1=0.7114
marital-status=Married-spouse-absent | n=76 | precision=1.0000 recall=0.3333 f1=0.5000
